atten,min_prb_ratio,ue_id,CQI,DRB.RlcSduTransmittedVolumeDL,DRB.UEThpDl,RSRP,timestamp
0,0,3,13,59241.0,59288.0,27,2025-03-03 20:00:38.816340
0,0,3,13,57796.0,57916.0,27,2025-03-03 20:00:39.832235
0,0,3,13,57664.0,57926.0,27,2025-03-03 20:00:40.847776
0,0,3,13,57796.0,57926.0,27,2025-03-03 20:00:41.863561
0,0,3,13,57509.0,57926.0,27,2025-03-03 20:00:42.887991
0,0,3,13,57090.0,56868.0,27,2025-03-03 20:00:43.903553
0,0,3,13,54310.0,54548.0,27,2025-03-03 20:00:44.919712
0,0,3,13,54365.0,54548.0,27,2025-03-03 20:00:45.935386
0,0,3,13,54442.0,54548.0,27,2025-03-03 20:00:46.951266
0,0,3,13,54343.0,54538.0,27,2025-03-03 20:00:47.976257
0,0,3,13,53946.0,54049.0,27,2025-03-03 20:00:48.991848
0,0,3,13,52159.0,52304.0,27,2025-03-03 20:00:50.007425
0,0,3,13,51993.0,52304.0,27,2025-03-03 20:00:51.023249
0,0,3,13,52324.0,52294.0,27,2025-03-03 20:00:52.038562
0,0,3,13,52115.0,52304.0,27,2025-03-03 20:00:53.063250
0,0,3,13,51894.0,52035.0,27,2025-03-03 20:00:54.078883
0,0,3,13,50162.0,50300.0,27,2025-03-03 20:00:55.094939
0,0,3,13,50107.0,50290.0,27,2025-03-03 20:00:56.110926
0,0,3,13,50173.0,50300.0,27,2025-03-03 20:00:57.127041
0,0,3,13,50085.0,50300.0,27,2025-03-03 20:00:58.152610
0,0,3,13,50140.0,50196.0,27,2025-03-03 20:00:59.168054
0,0,3,13,47911.0,48063.0,27,2025-03-03 20:01:00.184058
0,0,3,13,47911.0,48073.0,27,2025-03-03 20:01:01.199823
0,0,3,13,47911.0,48074.0,27,2025-03-03 20:01:02.215792
0,0,3,13,47911.0,48064.0,27,2025-03-03 20:01:03.242199
0,0,3,13,47911.0,48064.0,27,2025-03-03 20:01:04.258016
0,0,3,13,45893.0,46008.0,27,2025-03-03 20:01:05.273723
0,0,3,13,45771.0,45915.0,27,2025-03-03 20:01:06.289193
0,0,3,13,45771.0,45916.0,27,2025-03-03 20:01:07.305165
0,0,3,13,45749.0,45916.0,27,2025-03-03 20:01:08.331071
0,0,3,13,45749.0,45916.0,27,2025-03-03 20:01:09.347217
0,0,3,13,43940.0,44047.0,27,2025-03-03 20:01:10.363019
0,0,3,13,43620.0,43766.0,27,2025-03-03 20:01:11.379039
0,0,3,13,43609.0,43766.0,27,2025-03-03 20:01:12.395528
0,0,3,13,43620.0,43766.0,27,2025-03-03 20:01:13.420815
0,0,3,13,41204.0,41292.0,27,2025-03-03 20:01:14.436663
0,0,3,13,40454.0,40580.0,27,2025-03-03 20:01:15.452177
0,0,3,13,40443.0,40590.0,27,2025-03-03 20:01:16.467828
0,0,3,13,40454.0,40590.0,27,2025-03-03 20:01:17.483789
0,0,3,13,40454.0,40590.0,27,2025-03-03 20:01:18.509083
0,0,3,13,38942.0,39033.0,27,2025-03-03 20:01:19.524217
0,0,3,13,38214.0,38346.0,27,2025-03-03 20:01:20.540072
0,0,3,13,38214.0,38346.0,27,2025-03-03 20:01:21.556003
0,0,3,13,38214.0,38346.0,27,2025-03-03 20:01:22.571565
0,0,3,13,38214.0,38336.0,27,2025-03-03 20:01:23.596226
0,0,3,13,36957.0,37062.0,27,2025-03-03 20:01:24.611685
0,0,3,13,36096.0,36224.0,27,2025-03-03 20:01:25.627251
0,0,3,13,36085.0,36218.0,27,2025-03-03 20:01:26.643276
0,0,3,13,36107.0,36214.0,27,2025-03-03 20:01:27.659838
0,0,3,13,36085.0,36220.0,27,2025-03-03 20:01:28.684976
0,0,3,13,35059.0,35167.0,27,2025-03-03 20:01:29.699429
0,0,3,13,34033.0,34151.0,27,2025-03-03 20:01:30.715015
0,0,3,13,34033.0,34137.0,27,2025-03-03 20:01:31.731261
0,0,3,13,34022.0,34151.0,27,2025-03-03 20:01:32.747359
0,0,3,13,34011.0,34143.0,27,2025-03-03 20:01:33.772295
0,0,3,13,33118.0,33195.0,27,2025-03-03 20:01:34.787709
0,0,3,13,31783.0,31893.0,27,2025-03-03 20:01:35.803396
0,0,3,13,31794.0,31928.0,27,2025-03-03 20:01:36.819556
0,0,3,13,31805.0,31910.0,27,2025-03-03 20:01:37.835608
0,0,3,13,31805.0,31922.0,27,2025-03-03 20:01:38.861336
0,0,3,13,31121.0,31203.0,27,2025-03-03 20:01:39.877971
0,0,3,13,29720.0,29840.0,27,2025-03-03 20:01:40.893875
0,0,3,13,29720.0,29840.0,27,2025-03-03 20:01:41.909859
0,0,3,13,29731.0,29832.0,27,2025-03-03 20:01:42.926034
0,0,3,13,29720.0,29829.0,27,2025-03-03 20:01:43.951123
0,0,3,13,28959.0,29024.0,27,2025-03-03 20:01:44.966776
0,0,3,13,26465.0,26571.0,27,2025-03-03 20:01:45.982328
0,0,3,13,26465.0,26571.0,26,2025-03-03 20:01:46.997962
0,0,3,13,26410.0,26505.0,26,2025-03-03 20:01:48.014122
0,0,3,13,26421.0,26538.0,26,2025-03-03 20:01:49.039106
0,0,3,13,26145.0,26224.0,26,2025-03-03 20:01:50.055205
0,0,3,13,24336.0,24434.0,26,2025-03-03 20:01:51.071029
0,0,3,13,24347.0,24437.0,27,2025-03-03 20:01:52.087029
0,0,3,13,24358.0,24474.0,27,2025-03-03 20:01:53.103691
0,0,3,13,24303.0,24394.0,27,2025-03-03 20:01:54.129277
0,0,3,13,24237.0,24312.0,27,2025-03-03 20:01:55.145116
0,0,3,13,22284.0,22372.0,27,2025-03-03 20:01:56.161461
0,0,3,13,22207.0,22306.0,27,2025-03-03 20:01:57.177507
0,0,3,13,22218.0,22321.0,27,2025-03-03 20:01:58.194221
0,0,3,13,22163.0,22260.0,27,2025-03-03 20:01:59.219270
0,0,3,13,22185.0,22265.0,27,2025-03-03 20:02:00.235128
0,0,3,13,20155.0,20226.0,27,2025-03-03 20:02:01.251063
0,0,3,13,20144.0,20235.0,28,2025-03-03 20:02:02.267194
0,0,3,13,20122.0,20218.0,28,2025-03-03 20:02:03.283574
0,0,3,13,20100.0,20218.0,28,2025-03-03 20:02:04.310180
0,0,3,13,20100.0,20218.0,28,2025-03-03 20:02:05.326689
0,0,3,13,18302.0,18338.0,28,2025-03-03 20:02:06.342713
0,0,3,13,17893.0,17983.0,28,2025-03-03 20:02:07.358795
0,0,3,13,17882.0,17954.0,28,2025-03-03 20:02:08.375437
0,0,3,13,17860.0,17944.0,28,2025-03-03 20:02:09.403650
0,0,3,13,16172.0,16220.0,28,2025-03-03 20:02:10.418460
0,0,3,13,15731.0,15802.0,28,2025-03-03 20:02:11.434359
0,0,3,13,15720.0,15812.0,28,2025-03-03 20:02:12.453386
0,0,3,13,15709.0,15790.0,28,2025-03-03 20:02:13.470498
0,0,3,13,15764.0,15855.0,28,2025-03-03 20:02:14.496338
0,0,3,13,13602.0,13614.0,28,2025-03-03 20:02:15.512694
0,0,3,13,12466.0,12552.0,28,2025-03-03 20:02:16.528685
0,0,3,13,12455.0,12527.0,28,2025-03-03 20:02:17.544755
0,0,3,13,12499.0,12576.0,28,2025-03-03 20:02:18.560928
0,0,3,13,12543.0,12615.0,28,2025-03-03 20:02:19.812273
0,0,3,13,50846.0,54120.0,28,2025-03-03 20:02:20.828286
0,0,3,13,120039.0,120220.0,27,2025-03-03 20:02:21.843845
0,0,3,13,119851.0,120220.0,27,2025-03-03 20:02:22.860023
0,0,3,13,119928.0,120210.0,27,2025-03-03 20:02:23.875682
0,0,3,13,119973.0,120220.0,27,2025-03-03 20:02:24.900413
0,0,3,13,119178.0,119476.0,27,2025-03-03 20:02:25.915777
0,0,3,13,117435.0,117743.0,27,2025-03-03 20:02:26.931711
0,0,3,13,117468.0,117733.0,27,2025-03-03 20:02:27.947898
0,0,3,13,117446.0,117743.0,27,2025-03-03 20:02:28.964183
0,0,3,13,117457.0,117743.0,27,2025-03-03 20:02:29.989443
0,0,3,13,117027.0,117326.0,27,2025-03-03 20:02:31.005156
0,0,3,13,115471.0,115748.0,27,2025-03-03 20:02:32.020996
0,0,3,13,115527.0,115759.0,27,2025-03-03 20:02:33.037247
0,0,3,13,115229.0,115759.0,27,2025-03-03 20:02:34.053939
0,0,3,13,115670.0,115759.0,27,2025-03-03 20:02:35.079450
0,0,3,13,115218.0,115439.0,27,2025-03-03 20:02:36.095292
0,0,3,13,112713.0,113179.0,27,2025-03-03 20:02:37.110624
0,0,3,13,113078.0,113179.0,27,2025-03-03 20:02:38.126550
0,0,3,13,112967.0,113179.0,27,2025-03-03 20:02:39.142506
0,0,3,13,112724.0,113169.0,27,2025-03-03 20:02:40.168339
0,0,3,13,113078.0,113111.0,27,2025-03-03 20:02:41.184216
0,0,3,13,110463.0,110911.0,27,2025-03-03 20:02:42.199907
0,0,3,13,110739.0,110911.0,27,2025-03-03 20:02:43.215445
0,0,3,13,110474.0,110901.0,27,2025-03-03 20:02:44.231377
0,0,3,13,110595.0,110911.0,27,2025-03-03 20:02:45.257862
0,0,3,13,110595.0,110911.0,27,2025-03-03 20:02:46.273581
0,0,3,13,108676.0,108852.0,27,2025-03-03 20:02:47.289114
0,0,3,13,108444.0,108714.0,27,2025-03-03 20:02:48.305073
0,0,3,13,108554.0,108724.0,27,2025-03-03 20:02:49.320916
0,0,3,13,108345.0,108724.0,27,2025-03-03 20:02:50.346954
0,0,3,13,108345.0,108724.0,27,2025-03-03 20:02:51.362983
0,0,3,13,106491.0,106643.0,27,2025-03-03 20:02:52.379010
0,0,3,13,105962.0,106300.0,27,2025-03-03 20:02:53.394726
0,0,3,13,106083.0,106300.0,27,2025-03-03 20:02:54.410403
0,0,3,13,105852.0,106290.0,27,2025-03-03 20:02:55.434932
0,0,3,13,104638.0,104777.0,27,2025-03-03 20:02:56.450041
0,0,3,13,104108.0,104303.0,27,2025-03-03 20:02:57.465574
0,0,3,13,103965.0,104303.0,27,2025-03-03 20:02:58.481273
